id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
43,Polski znak wywoławczy stacji radioamatorskiej z pozwoleniem podstawowym składa się z:,,"prefiksu, cyfry i maksymalnie 4 znaków z czego ostatni musi być literą","prefiksu, dwóch cyfr i sufiksu z maksymalnie 4 znaków","prefiksu, czterech cyfr",a,"<p>Odpowiedź a. prefiksu, cyfry i maksymalnie 4 znaków z czego ostatni musi być literą</p> <p>Wybrałem odpowiedź A, ponieważ zgodnie z polskim prawem znak wywoławczy stacji radioamatorskiej składa się z prefiksu, jednej cyfry i maksymalnie 4 liter. Ostatni znak musi być literą, co oznacza, że nie możemy zakończyć znaku wywoławczego cyfrą.</p>",gpt-4
44,Poprawne literowanie wg alfabetu ITU litery B i F:,,"Bil, fox","bravo, foxtrot","box, Florida",b,"<p>Odpowiedź b. &quot;bravo, foxtrot&quot;</p> <p>Wybór jest oparty na powszechnie przyjętym alfabetem ITU (International Telecommunication Union), który jest używany do literowania na falach radiowych. Zgodnie z tym alfabetem, &quot;B&quot; jest literowane jako &quot;Bravo&quot;, a &quot;F&quot; jako &quot;Foxtrot&quot;. Wybór literowania pochodzi od nazw międzynarodowo uznanych i łatwych do zrozumienia.</p>",gpt-4
45,Poprawne literowanie wg alfabetu ITU litery C i G:,,"Charlie, golf","Canada, gold","Chile, Grenada",a,"<p>Odpowiedź a. Charlie, golf</p> <p>Alfabet fonetyczny ITU, nazywany również NATO phonetic alphabet, to standardowy system literowania, który jest uznawany na całym świecie. W tym alfabecie, litera &quot;C&quot; jest literowana jako &quot;Charlie&quot;, a litera &quot;G&quot; jest literowana jako &quot;Golf&quot;.</p>",gpt-4
46,Poprawne literowanie wg alfabetu ITU litery I i K:,,"India, Kanada","Italia, Kaz","India, Kilo",c,"<p>Odpowiedź c. India, Kilo</p> <p>Powodem jest fakt, że ITU (Międzynarodowa Unia Telekomunikacyjna) ustanowiła specjalny alfabet fonetyczny dla literowania liter i niektórych cyfr w radiotelekomunikacji. Litera &quot;I&quot; literuje się jako &quot;India&quot;, a litera &quot;K&quot; jako &quot;Kilo&quot;. Pozostałe dwie odpowiedzi nie są zgodne z tym alfabetem.</p>",gpt-4
47,Poprawne literowanie wg alfabetu ITU litery R i V:,,"Ren, Viktor","Romeo, Viktor","radio, Viola",b,"<p>b. Romeo, Viktor</p> <p>To jest prawidłowa odpowiedź, ponieważ według alfabetu ITU (International Telecommunication Union), który jest standardem dla literowania słów w radiokomunikacji, litera &quot;R&quot; jest literowana jako &quot;Romeo&quot;, a &quot;V&quot; jako &quot;Viktor&quot;.</p>",gpt-4
48,Poprawne literowanie wg alfabetu ITU litery X i S:,,"X-Ray, Sierra","Xsen, Santiago","X-Ray, Syria",a,"<p>Odpowiedź a. X-Ray, Sierra</p> <p>Dlaczego? Alfabet fonetyczny (m.in. używany przez ITU, Międzynarodowy Związek Telekomunikacyjny) stosowany jest do przekazania jak najbardziej precyzyjnego przekazu, szczególnie w przypadku, gdy występować mogą zakłócenia. Każdej literze alfabetu łacińskiego przypisane jest słowo, które jest międzynarodowo rozpoznawalne i ma na celu zamienić pojedyncze litery na słowa, które są trudniejsze do pomylenia. W przypadku litery X jest to X-Ray, a dla litery S - Sierra. Pozostałe odpowiedzi nie są zgodne z wytycznymi ITU.</p>",gpt-4
49,Które prefiksy znaków wywoławczych przeznaczone są dla Polski?,,"HF, SN, SO, SP, SQ, SR, 3Z","HF, SN, SO, SP, SQ, 3Z, 3X","HA, SM, SO, SP, SQ, SR, 3Z",a,"<p>Odpowiedź a. HF, SN, SO, SP, SQ, SR, 3Z.</p> <p>Wybrałem tę odpowiedź, ponieważ zawiera listę znanych mi prefiksów używanych w Polsce. Prefiks 3X z odpowiedzi b jest przeznaczony dla Gwinei, natomiast prefiksy HA i SM z odpowiedzi c są przeznaczone odpowiednio dla Węgier i Szwecji.</p>",gpt-4
50,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 160 m to:,,1810 kHz - 1950 kHz,1810 kHz - 2000 kHz,1810 kHz - 1980 kHz,b,"<p>Wybieram odpowiedź a. 1810 kHz - 1950 kHz. Jest to standardowy zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 160 m. Zarówno częstotliwości poniżej 1810 kHz, jak i powyżej 1950 kHz, są zazwyczaj zarezerwowane dla innych rodzajów usług radiowych. Taki podział zapewnia niezakłóconą komunikację między radioamatorami.</p>",gpt-4
51,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 80 m to:,,3550 kHz - 3750 kHz,3500 kHz - 3750 kHz,3500 kHz - 3800 kHz,c,"<p>Odpowiedź na to pytanie jest często zależna od lokalnych regulacji. W Polsce, według Urzędu Komunikacji Elektronicznej, zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 80 m to 3500 kHz - 3800 kHz. Tak więc, moim wyborem jest opcja c. 3500 kHz - 3800 kHz.</p>",gpt-4
52,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 40 m to:,,7000 kHz - 7200 kHz,7100 kHz - 7300 kHz,7050 kHz - 7200 kHz,a,"<p>Odpowiedzią na to pytanie jest a. 7000 kHz - 7200 kHz.</p> <p>Zgodnie z międzynarodowym planem pasm (ITU) służba radiowa amatorska ma przypisane pasmo 40 metrów w zakresie 7000-7200 kHz. Zatem odpowiedź a jest prawidłowa. Pamiętaj, że te wartości mogą się różnić w zależności od kraju. W Polsce obowiązują te wartości.</p>",gpt-4
53,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 30 m to:,,10050 kHz - 10200 kHz,10100 kHz - 10150 kHz,10100 kHz - 10200 kHz,b,<p>Odpowiedź to: b. 10100 kHz - 10150 kHz. To jest określony i uniwersalnie uznanie zakres dla służby amatorskiej w paśmie 30 m. Jednym z podstawowych zasad w radiokomunikacji jest przestrzeganie wyznaczonych zakresów częstotliwości dla różnych usług i dyscyplin. Przestrzeganie tego zakresu pomaga zapobiegać zakłóceniom i umożliwia skuteczne korzystanie ze spektrum radiowego.</p>,gpt-4
54,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 20 m to:,,14000 kHz - 14350 kHz,14000 kHz - 14450 kHz,14100 kHz - 14350 kHz,a,"<p>Odpowiedź a. 14000 kHz - 14350 kHz</p> <p>Wybieram tę odpowiedź, ponieważ według Międzynarodowego Związku Łączności, który reguluje skoordynowane wykorzystanie pasm radiowych na całym świecie, pasmo 20 metrów dla służby amatorskiej rozciąga się od 14000 kHz do 14350 kHz. Jest to standard przyjęty na całym świecie.</p>",gpt-4
55,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 17 m to:,,18050 kHz - 18250 kHz,18068 kHz - 18168 kHz,18000 kHz - 18168 kHz,b,<p>Odpowiedź b. 18068 kHz - 18168 kHz</p> <p>Nadajniki radioweamatorskie na pasmach HF mogą być używane na ściśle określonych pasmach częstotliwości. Pasmo 17 metrów ma zakres 18068 kHz - 18168 kHz zgodnie z międzynarodowymi regulacjami ITU (Międzynarodowy Związek Telekomunikacyjny).</p>,gpt-4
56,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 15 m to:,,21000 kHz - 21500 kHz,21100 kHz - 21450 kHz,21000 kHz - 21450 kHz,c,"<p>Prawidłową odpowiedzią jest &quot;a. 21000 kHz - 21500 kHz&quot;. Stosowne regulacje dotyczące amatorskiego wykorzystania pasm radiowych są określone przez Międzynarodowy Związek Telekomunikacyjny (ITU) i zawarte są w Porozumieniu Radiokomunikacyjnym. Według tego porozumienia, pasmo 15 metrów dla służby amatorskiej rozciąga się od 21000 kHz (21 MHz) do 21500 kHz (21.5 MHz).</p>",gpt-4
57,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 12 m to:,,24690 kHz - 24990 kHz,24890 kHz - 24990 kHz,24680 kHz - 24990 kHz,b,"<p>Odpowiedź na to pytanie można znaleźć w regulacjach dotyczących zakresów częstotliwości przeznaczonych dla służby amatorskiej. W Polsce jest to uregulowane Rozporządzeniem Ministra Infrastruktury i Rozwoju z dnia 17 grudnia 2014 r. w sprawie zakresów częstotliwości radiowych przeznaczonych do użytku przez radiooperatorów posiadających uprawnienia w służbie amatorskiej.</p> <p>Odpowiedzią na to pytanie jest 'b', czyli zakres 24890 kHz - 24990 kHz. Wybrałem tę odpowiedź, ponądz jest zgodna z regulacjami dotyczącymi zakresów częstotliwości służby amatorskiej. Inne odpowiedzi są niepoprawne, ponieważ nie pasują do rozporządzenia.</p>",gpt-4
58,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 10 m to:,,28500 kHz - 29800 kHz,28000 kHz - 29500 kHz,28000 kHz - 29700 kHz,c,"<p>C. 28000 kHz - 29700 kHz.</p> <p>Pośród dostępnych odpowiedzi, zakres częstotliwości dla służby amatorskiej w paśmie 10 metrów wynoszący 28000 do 29700 kHz jest zgodny z międzynarodowymi normami. Ta informacja jest powszechnie dostępna dla radioamatorów i jest ważna dla przestrzegania regulacji dotyczących wykorzystania pasma radiowego. Zakres ten pokrywa się z częstotliwością, na której działają wiele typów sprzętu radiowego przeznaczonym dla radioamatorów.</p>",gpt-4
59,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 6 m to:,,50 MHz - 54 MHz,50 MHz - 52 MHz,"50 MHz - 53,5 MHz",b,"<p>Wybieram odpowiedź a. 50 MHz - 54 MHz. Wybór ten jest podyktowany faktem, iż zgodnie z międzynarodowym planem częstotliwości zakres częstotliwości dla służby amatorskiej w paśmie 6 m to właśnie 50 - 54 MHz. Niezależnie od tego, warto pamiętać, że różne kraje mogą mieć różne regulacje dotyczące konkretnych częstotliwości przeznaczonych dla radioamatorów.</p>",gpt-4
60,Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 2 m to:,,144 MHz - 146 MHz,144 MHz - 148 MHz,143 MHz - 146 MHz,a,"<p>Odpowiedź a. 144 MHz - 146 MHz</p> <p>Paśmo 2 metrów (144MHz do 146MHz) jest przeznaczone dla komunikacji w większości krajów Europy. Wybór ten wynika z przypisanych służbom amatorskim pasm radiowych międzynarodowych porozumień i regulacji, w tym przypadku Regulacji Radiokomunikacyjnej ITU. To paśmo jest powszechnie używane do komunikacji lokalnej za pomocą różnych typów emisji, w tym FM, SSB i cyfrowych.</p>",gpt-4
61,Jaki jest odstęp między częstotliwością nadawczą a odbiorczą przemienników pracujących w paśmie 2 m?,,600 kHz,650 kHz,800 kHz,a,"<p>Odpowiedź to b. 650 kHz.</p> <p>Ten odstęp jest standardowy dla pasma 2m (144-146 MHz) według kryteriów ustanowionych przez IARU (Międzynarodową Unię Radioamatorską). W praktyce oznacza to, że częstotliwość odbierana przez przemiennik jest o 650 kHz wyższa (lub niższa, w zależności od konfiguracji) od częstotliwości nadawczej. Zasada ta ułatwia koordynację i zapobiega interferencji między stacjami.</p>",gpt-4
62,Prefiks kraju znajduje się ,,na początku znaku wywoławczego stacji amatorskiej ,na końcu znaku stacji amatorskiej ,znak nie identyfikuje kraju dlatego musimy posługiwać się tzw callbookiem lub specjalnymi stronami www,a,"<p>Wybieram odpowiedź a. Prefiks kraju znajduje się na początku znaku wywoławczego stacji amatorskiej. To dlatego, że w radiokomunikacji międzynarodowej prefiks na początku znaku wywoławczego stacji jest wykorzystywany do identyfikacji kraju pochodzenia tej stacji.</p>",gpt-4
63,Który z prefiksów nie może być prefiksem znaku wywoławczego stacji polskiego krótkofalowca dla kategorii pozwolenia 1 i 3?,,HF,3Z,SR,c,"<p>Wybieram odpowiedź a. HF.</p> <p>W ramach Polskiego systemu, prefiksy znaków wywoławczych stacji radioamatorskich są określone and są różne dla różnych kategorii pozwolenia. Prefiks HF jest zarezerwowany dla najwyższej kategorii pozwolenia (EXTRA), a nie dla kategorii 1 i 3.</p> <p>Prefiksy 3Z i SR są dostępne dla operatów z pozwoleniem kategorii 1 i 3.</p>",gpt-4
64,Który z prefiksów dotyczy krótkofalowca z Ameryki Północnej?,,W,BY,G,a,"<p>Odpowiedź a. W</p> <p>Krótkofalowcy, zwani również radioamatorami, mają przypisany kod, który zaczyna się od określonego prefiksu w zależności od kraju, z którego pochodzą. W tym przypadku, prefiks &quot;W&quot; jest używany dla krótkofalowców z Ameryki Północnej, głównie ze Stanów Zjednoczonych.</p> <p>Z drugiej strony, prefiks &quot;BY&quot; odnosi się do krótkofalowców z Chin, a &quot;G&quot; do tych z Wielkiej Brytanii.</p>",gpt-4
65,"Słyszysz stację z USA, która nadaje na 7220 kHz. Co to oznacza:",,stacja nadaje niezgodnie z przepisami,"Nie możesz odpowiedzieć na jej wywołanie na 7220 kHz, gdyż ta częstotliwość znajduje się poza pasmem amatorskim w Polsce",ma uszkodzony nadajnik,b,"<p>Odpowiedź b. Nie możesz odpowiedzieć na jej wywołanie na 7220 kHz, gdyż ta częstotliwość znajduje się poza pasmem amatorskim w Polsce</p> <p>Wybrałem tę odpowiedź, ponieważ w Polsce i większości krajów Europy, pasmo krótkofalowe 40 m dla radioamatorów jest w zakresie od 7000 kHz do 7200 kHz. Dodatkowo, częstotliwości powyżej 7200 kHz są zazwyczaj zarezerwowane dla służb radiokomunikacyjnych innych niż amatorskie. Stacja z USA może nadawać na tej częstotliwości, ponieważ pasmo amatorskie 40 m w USA rozciąga się od 7000 kHz do 7300 kHz. Jednak polscy radioamatorzy nie mogą na tę częstotliwość odpowiadać, ponieważ leży poza ich pasmem.</p>",gpt-4
66,Jakiej mocy powinny używać stacje radioamatorskie?,,Określonej w pozwoleniu ,"Minimalnej, niezbędnej do zapewnienia zadowalającej jakości transmisji, nie większej jednak niż określona w pozwoleniu","Dowolnej, nie większej jednak niż określona w pozwoleniu",b,"<p>Wybieram odpowiedź b. &quot;Minimalnej, niezbędnej do zapewnienia zadowalającej jakości transmisji, nie większej jednak niż określona w pozwoleniu&quot;.</p> <p>Użycie minimalnej mocy niezbędnej do zapewnienia zadowalającej jakości transmisji, jest zgodne z zasadami efektywnego i odpowiedzialnego użytkowania zasobów radiowych. Celem jest zapobieganie niepotrzebnemu zakłócaniu innych użytkowników spektrum. Dodatkowo, &quot;nie większej niż określona w pozwoleniu&quot; upewnia, że operator działa w granicach ustalonych przez lokalne organy regulacyjne.</p>",gpt-4
67,"Wyjeżdżasz na kilka dni z Polski do Niemiec. Czy możesz użyć swojej radiostacji, a jeśli tak, to jakiego użyjesz znaku?",,Nie możesz,"Możesz, poprzedzisz swój własny znak prefiksem DL (właściwym dla kraju CEPT, do którego przyjechałeś)","Możesz, zamieniasz polski prefix na prefix kraju, do którego przyjechałeś",b,"<p>Odpowiedź to b. Możesz, poprzedzisz swój własny znak prefiksem DL (właściwym dla kraju CEPT, do którego przyjechałeś).</p> <p>Taka jest standardowa procedura dla radiooperatorów podróżujących między krajami będącymi członkami Europejskiej Konferencji Administracji Poczt i Telekomunikacji (CEPT). Prefix DL jest prefiksem używanym w Niemczech. Dzięki temu, że Polska i Niemcy są członkami CEPT, polski radiooperator może operować na swojej radiostacji na terenie Niemiec, ale musi poprzedzić swój znak właściwym prefiksem kraju, do którego przyjechał.</p>",gpt-4
68,"Które z krajów nie należą do CEPT, ale nadal możesz stamtąd nadawać podczas krótkiej podróży po wypełnieniu rekomendacji T/R 61-01?",,"Stany Zjednoczone, Kanada, Izrael","Arabia Saudyjska, Bahrajn, Irak","Chiny, Korea Północna, Indie",a,"<p>Odpowiedź to a. Stany Zjednoczone, Kanada, Izrael.</p> <p>CEPT to Europejska Konferencja Administracji Poczt i Telekomunikacji, która zawiera większość krajów europejskich. Chociaż Stany Zjednoczone, Kanada i Izrael nie należą do CEPT, na mocy różnych umów międzynarodowych radioamatorzy z tych krajów mogą nadawać podczas krótkoterminowych podróży za granicę, o ile spełniają rekomendację T/R 61-01. Ta rekomendacja określa minimalne wymagania dla operatorów radiowych, którzy chciałby korzystać z częstotliwości w innych krajach.</p> <p>Arabia Saudyjska, Bahrajn i Irak (odpowiedź b) oraz Chiny, Korea Północna i Indie (odpowiedź c) są krajami, które nie mają takiej umowy.</p>",gpt-4
69,Czy na pasmach amatorskich możemy nadawać dowolne treści?,,"Można nadawać reklamy, ale nie wolno muzyki ","Tak, jest to przywilej radioamatorów ",Zaleca się ograniczenie transmisji do związanych z służbą,c,"<p>Odpowiedź c. Zaleca się ograniczenie transmisji do związanych z służbą</p> <p>Pasma amatorskie są przeznaczone przede wszystkim dla osób interesujących się radiokomunikacją oraz nauką i techniką radiokomunikacyjną. Nie jest to miejsce na reklamy czy muzykę. Dlatego zaleca się, żeby transmisje były związane z tą służbą, aby zapewnić optymalne warunki dla wszystkich użytkowników.</p>",gpt-4
