id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
155,"W układzie były trzy kondensatory po 30 µF połączone szeregowo . Każdy z nich ma napięcie pracy 100V. Czy możemy je zastąpić jednym kondensatorem 10 µF, jeśli tak, to jakie musi mieć napięcie pracy?",,nie możemy,możemy stosując kondensator na napięcie 100 V,"możemy, stosując kondensator na napięcie 300 V",c,"<p>Odpowiem na to pytanie kiedy zrozumiem jak działa połączenie kondensatorów w szereg.</p> <p>Kiedy kondensatory są połączone szeregowo, pojemność równoważna jest obliczona przez wyrażenie 1/C_eq = 1/C1 + 1/C2 + ... + 1/Cn, gdzie C_eq to pojemność równoważna, a C1, C2,..., Cn to pojemności poszczególnych kondensatorów.</p> <p>Zadanie mówi, że wszystkie trzy kondensatory mają pojemność 30 µF. Obliczmy zatem pojemność równoważną dla tego układu.</p> <p>Napięcie pracy każdego z kondensatorów wynosi 100 V, więc suma napięć na poszczególnych kondensatorach w połączeniu szeregowym powinna wynosić 300 V.</p> <p>Zobaczmy czy da się tak dobrać parametry by zastąpić te trzy kondensatory jednym 10 µF.</p> <pre><code class=""language-python""># parameters of capacitors in series<br />C1 = C2 = C3 = 30  # in uF<br /><br /># equivalent capacitance for capacitors in series<br />C_eq = 1 / (1/C1 + 1/C2 + 1/C3)<br />C_eq </code></pre> <pre><code class=""language-python"">10.0 </code></pre> <p>Pojemność równoważna dla trzech kondensatorów połączonych szeregowo wynosi 10 µF, co jest zgodne z wartością kondensatora, który chcemy użyć do zastąpienia trzech kondensatorów.</p> <p>Następnie musimy sprawdzić czy napięcie pracy tego kondensatora jest wystarczajoce dla naszych potrzeb. Jak już rozważano wcześniej, napięcie pracy dla szeregowego zestawu kondensatorów wynosi 300V.</p> <p>Skoro pojemność jest zgodna, musimy sprawdzić, czy napięcie pracy jest odpowiednie. Jeśli tak, wybieramy odpowiedź c. Jeśli napięcie pracy jest zbyt niskie, wybieramy odpowiedź a. Jeśli napięcie pracy jest zbyt wysokie, musimy rozważyć inne możliwości. Napięcie pracy dla szeregowego zestawu kondensatorów wynosi 300V, więc aby zastąpić je jednym kondensatorem, musi on mieć co najmniej tyle samo napięcia pracy. Zatem odpowiedzią jest c. &quot;możemy, stosując kondensator na napięcie 300 V&quot;</p>",gpt-4
156,Dwie indukcyjności nie sprzężone mają 30 µH i 60 µH. Ile wynosi indukcyjność zastępcza przy połączeniu szeregowym tych indukcyjności?,,90 µH,20 µH,45 µH,a,"<p>Podczas szeregowego łączenia indukcyjności ich wartości sumują się. Oznacza to, że indukcyjność zastępcza wynosi sumę wartości obu indukcyjności. Równanie do obliczenia wynosi:</p> <p>Lz = L1 + L2</p> <p>gdzie: Lz - indukcyjność zastępcza, L1, L2 - indukcyjności połączone szeregowo</p> <pre><code class=""language-python""># Defining the inductances<br />L1 = 30 # in µH<br />L2 = 60 # in µH<br /><br /># calculating the equivalent inductance for series connection<br />Lz = L1 + L2 # in µH<br />Lz </code></pre> <pre><code class=""language-python"">90 </code></pre> <p>Indukcyjność zastępcza wynosi 90 µH. Wybrałem odpowiedź a), ponieważ po dodaniu wartości dwóch indukcyjności wynik wynosi 90 µH.</p>",gpt-4
157,124. Dwa oporniki 1 kΩ połączone są w szereg i dołączone do napięcia 200 V. Jaki jest spadek napięcia na każdym z tych oporników?,,50 V,100 V,200 V,b,"<p>Gdy oporniki są połączone szeregowo, całkowity opór wynosi sumę wartości poszczególnych oporników. Następnie, gdy do takiego układu przyłączmy źródło napięcia, spadek napięcia na każdym z oporników jest taki sam i wynosi napięcie źródła podzielone przez liczbę oporników.</p> <p>Więc obliczmy to:</p> <p>Suma oporów = 1 kΩ + 1 kΩ = 2 kΩ</p> <p>Spadek napięcia = Napięcie źródła / Liczba oporników = 200 V / 2 oporników.</p> <pre><code class=""language-python""># defining the variables<br />resistance = 1  # in kΩ<br />total_voltage = 200  # in V<br />number_of_resistors = 2<br /><br /># calculating the voltage drop<br />voltage_drop = total_voltage / number_of_resistors<br />voltage_drop </code></pre> <pre><code class=""language-python"">100.0 </code></pre> <p>Spadek napięcia na każdym z oporników wynosi 100 V.</p> <p>Więc prawidłowa odpowiedź to b. 100 V.</p>",gpt-4
158,Obwód rezonansowy równoległy LC w punkcie rezonansu przedstawia impedancję:,,rzeczywistą omową,reaktancję pojemnościową,reaktancję indukcyjną,a,"<p>Odpowiedź: a. rzeczywistą omową</p> <p>Obwód rezonansowy równoległy LC w punkcie rezonansu przedstawia impedancję rzeczywistą omową.</p> <p>Impedancja obwodu jest wymierzalna miara oporu w obwodzie i wynika z naturalnej oporności elementów obwodów: rezystora, kondensatora, cewki, itp. Punktem rezonansu dla obwodu LC jest moment, w którym reaktancja pojemnościowa i indukcyjna równoważą się, co skutkuje czysto rzeczywistą (omową) impedancją - nie ma wówczas komponentu reaktancyjnego. Zeitgeber takiego zjawiska jest to, że energia zmagazynowana w cewce L jest ciągle przekazywana do kondensatora C i z powrotem, co powoduje, że &quot;widzimy&quot; tylko rzeczywistą oporność elementów obwodu.</p>",gpt-4
159,"Mamy obwód rezonansowy o częstotliwości 3,5 MHz. W jego skład wchodzi pojemność C = 400 pF. Jaką pojemność należy dołączyć zamiast C, by przestroić obwód na 7 MHz?",,200 pF,100 pF,57 pF,b,"<p>Częstotliwość rezonansowa w obwodzie LC (cewka-pojemność) oblicza się ze wzoru:</p> <p>f = 1 / (2 * pi * sqrt(L * C))</p> <p>Gdzie: f - częstotliwość, L - indukcyjność, C - pojemność, pi - stała pi (3,14159...).</p> <p>Zauważamy, że pojemność (C) jest odwrotnie proporcjonalna do kwadratu częstotliwości (f). Jeżeli chcemy zwiększyć częstotliwość dwa razy (z 3,5 MHz do 7 MHz), to pojemność powinna zostać zmniejszona cztery razy (bo dwa do kwadratu to cztery).</p> <p>Zatem nowa pojemność powinna wynosić 400 pF / 4.</p> <pre><code class=""language-python""># original capacitance value<br />C = 400 # in picofarads (pF)<br /><br /># new capacitance value<br />C_new = C / 4 # decrease capacitance four times as frequency is doubled (2^2 = 4)<br /><br />C_new </code></pre> <pre><code class=""language-python"">100.0 </code></pre> <p>Nowa pojemność powinna wynosić 100 pF. Więc odpowiedź to b. 100 pF. Wybrałem tę odpowiedź, ponieważ jest ona zgodna z zasadą odwrotnej proporcjonalności pojemności do kwadratu częstotliwości w obwodzie rezonansowym.</p>",gpt-4
160,Obwód rezonansowy na częstotliwość 14 MHz ma dobroć Q=100. Jaka jest szerokość pasma tego obwodu rezonansowego?,,280 kHz,14 kHz,140 kHz,c,"<p>Szerokość pasma obwodu rezonansowego można obliczyć używając formuły: BW = f0/Q Gdzie: BW - szerokość pasma f0 - częstotliwość rezonansowa Q - dobroć obwodu rezonansowego</p> <p>Podstawiamy nasze wartości i obliczamy: BW = 14 MHz / 100</p> <pre><code class=""language-python""># define the given values<br />f0 = 14  # resonant frequency in MHz<br />Q = 100  # quality factor<br /><br /># calculate bandwidth<br />BW = f0 / Q<br />BW  # bandwidth in MHz </code></pre> <pre><code class=""language-python"">0.14 </code></pre> <p>Szerokość pasma obwodu rezonansowego wynosi 0,14 MHz, co jest równoznaczne z 140 kHz. Zatem prawidłową odpowiedzią jest c. 140 kHz.</p> <p>Wybrałem tę odpowiedź, ponieważ po wykonaniu obliczeń wynika, że szerokość pasma obwodu wynosi 140 kHz. A odpowiedź c. odpowiada tej wartości.</p>",gpt-4
161,Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?,A_1_162.png,prostownik dwupołówkowy,prostownik jednopołówkowy,prostownik mostkowy dwupołówkowy,System.Object[],,
162,"Napięcie na wyjściu zasilacza nieobciążonego z filtrem pojemnościowym, wynosi 25 V. Jakie jest napięcie Usk transformatora zasilającego diody?",,25 V,"17,7 V",20 V,b,"<p>Aby to wydedukować, najpierw trzeba zrozumieć, jak działa zasilacz nieobciążony z filtrem pojemnościowym. Po załączeniu zasilania, diody przepuszczają prąd tylko w czasie półfal dodatnich napięcia, ładowając kondensator do wartości szczytowej napięcia zmiennego.</p> <p>Pikowa wartość (tj. wartość szczytowa) sinusoidalnego napięcia zmiennego wynosi √2 razy jego wartość skuteczną (rms). Zatem, aby obliczyć wartość skuteczną napięcia na wyjściu zasilacza (U_sk), musimy podzielić wartość pierwiastka z 2.</p> <p>Podstawiamy wartość napięcia wyjściowego (U_out = 25V) do wzoru:</p> <p>U_sk = U_out/√2</p> <p>Zatem, odpowiednią odpowiedzią będzie:</p> <p>U_sk = 25V/√2</p> <pre><code class=""language-python"">import math<br /><br />U_out = 25  # Voltage at the output of the power supply (V)<br />U_sk = U_out / math.sqrt(2)  # rms voltage of the transformer feeding the diodes (V)<br />U_sk </code></pre> <pre><code class=""language-python"">17.677669529663685 </code></pre> <p>Napięcie na wyjściu transformatora zasilającego diody wynosi około 17,68 V. Najbliższą wartością z dostępnych odpowiedzi jest 17,7 V, dlatego wybieram odpowiedź b. 17,7 V.</p> <p>Dlaczego? Ponieważ w przypadku zasilacza nieobciążonego z filtrem pojemnościowym, wartość skuteczna napięcia zmiennego jest mniejsza od napięcia na wyjściu i wynosi U_out/√2, gdzie U_out to napięcie na wyjściu zasilacza.</p>",gpt-4
163,Wzmacniacz posiada wzmocnienie napięciowe 10 razy. Wyraź to wzmocnienie w decybelach (dB),,10 dB,20 dB,40 dB,b,"<p>Wzmocnienie napięciowe wyrażone w decybelach można obliczyć za pomocą poniższego wzoru:</p> <p>A_db = 20 log(A_v)</p> <p>gdzie: A_db - wzmocnienie napięciowe w decybelach, A_v - wzmocnienie napięciowe (linearne).</p> <p>Podstawiamy zadaną wartość A_v = 10 do wzoru i obliczamy wynik.</p> <pre><code class=""language-python"">import math<br /><br />A_v = 10<br /><br />A_db = 20 * math.log10(A_v)<br />A_db </code></pre> <pre><code class=""language-python"">20.0 </code></pre> <p>Wzmocnienie napięciowe wynosi 20 dB. Wybrałem odpowiedź b. Wykorzystałem do tego wzór na przeliczanie wzmocnienia liniowego na decybelowy, w którym musimy pomnożyć logarytm z wzmocnienia liniowego przez 20.</p>",gpt-4
164,Wzmacniacz wysokiej częstotliwości obciążony obwodem rezonansowym jest:,,wzmacniaczem selektywnym,wzmacniaczem szerokopasmowym,wzmacniaczem akustycznym,a,"<p>Odpowiedź a. wzmacniaczem selektywnym</p> <p>Wzmacniacz HF (wysokiej częstotliwości) obciążony obwodem rezonansowym nazywany jest wzmacniaczem selektywnym ze względu na jego zdolność do wyboru i wzmacniania sygnałów o konkretnej częstotliwości z szerokiego zakresu innych częstotliwości. Tego rodzaju wzmacniacz można dostroić do różnych częstotliwości, co jest charakterystyczną cechą wzmacniaczy selektywnych.</p>",gpt-4
165,W tranzystorowym wzmacniaczu mocy który element jest niezbędny aby nie generować zakłóceń harmonicznych?,,filtr dolnoprzepustowy,przełącznik nadawanie-odbiór,układ dopasowania bazy tranzystora,,"<p>Odpowiedź a. filtr dolnoprzepustowy</p> <p>Elementem niezbędnym w tranzystorowym wzmacniaczu mocy do kierowania i ograniczania zakłóceń harmonicznych jest filtr dolnoprzepustowy. Zakłócenia harmoniczne to sygnały o częstotliwościach wielokrotnych wyższych niż częstotliwość robocza. Filtr dolnoprzepustowy pozwala przepuszczać sygnały o częstotliwościach niższych od ustawionej granicznej (częstotliwość robocza) i tłumi sygnały o częstotliwościach wyższych. Dzięki temu nie dochodzi do generowania niepożądanych &quot;echo&quot; sygnału, czyli zakłóceń harmonicznych. Opcja b i c nie mają bezpośredniego wpływu na generowanie zakłóceń.</p>",gpt-4
166,Na rysunku przedstawiono schemat detektora diodowego. Jaką rolę spełnia w nim kondensator C1?,A_1_168.png,jest kondensatorem filtrującym prądy w.cz.,poprawia odtwarzanie wysokich tonów,"chroni słuchawki przed uszkodzeniem  ",a,,
167,Dlaczego do detekcji sygnałów telegrafii CW używamy pomocniczego generatora BFO?,,bo sygnał CW jest przerywany,musimy wytworzyć słyszalne dudnienia z niemodulowanym sygnałem CW,bo sygnał CW jest słaby,,"<p>Odpowiedź brzmi: b. musimy wytworzyć słyszalne dudnienia z niemodulowanym sygnałem CW.</p> <p>Pomocniczy generator BFO (Beat Frequency Oscillator) generuje falę nośną, która miesza się z odbieranym sygnałem CW. Rezultatem tego procesu są dudnienia (beats) w rytmie wysyłanego kodu Morse’a, które można odsłuchać. Bez BFO sygnał CW, będący tylko falą nośną, byłby niesłyszalny dla człowieka.</p>",gpt-4
168,"Aby czytelnie odebrać sygnał SSB, to przy odbiorze dolnej wstęgi (LSB) sygnał odtwarzający falę nośną powinien być:",,poniżej wstęgi LSB,powyżej wstęgi LSB,w środku LSB,b,"<p>Odpowiedź to a. poniżej wstęgi LSB</p> <p>Gdy odbieramy sygnał LSB (Lower Side Band, czyli dolnej wstęgi), sygnał odtwarzający falę nośną powinien być poniżej wstęgi LSB. Dlaczego? Ponieważ sideband (wstęga) to pasmo częstotliwości wokół bazy (nośnej) fal. LSB oznacza, że korzystamy z pasma poniżej tej bazowej fali. Więc, aby czytelnie odebrać sygnał, potrzebujemy replikatora fali bazowej poniżej tej LSB.</p>",gpt-4
169,Czy dyskryminator sygnału FM powinien reagować na modulację amplitudy sygnału FM?,,nie,tak,nie ma to znaczenia,a,"<p>a. nie</p> <p>Wybrałem tę odpowiedź, ponieważ dyskryminator FM (Frequency Modulation) jest urządzeniem stosowanym do odtwarzania informacji zawartej w modulacji częstotliwości. Nie reaguje on na modulację amplitudy, ponieważ ta nie wpływa na zmiany częstotliwości sygnału, a tylko na jego amplitudę.</p>",gpt-4
170,Warunkiem wzbudzenia się generatora z obwodem rezonansowym jest:,,zastosowanie obwodu rezonansu szeregowego,spełnienie warunku amplitudy i fazy,zastosowanie ujemnego sprzężenia zwrotnego,b,"<p>Odpowiedź b. spełnienie warunku amplitudy i fazy</p> <p>Warunek wzbudzenia się generatora z obwodem rezonansowym wymaga spełnienia dwóch warunków: amplitudy i fazy. Warunek amplitudy oznacza, że amplituda napięcia na wyjściu generatora musi być równa amplitudzie napięcia na wejściu. Warunek fazy oznacza, że róznica faz napięć na wejściu i wyjściu musi wynosićk 0 lub całkowita wielokrotność 2π. Jest to również znane jako zasada Barkhausena. Alternatywy a i c są błędne, gdyż obwód rezonansowy może być zarówno szeregowy, jak i równoległy, a korzystne sprzężenie zwrotne jest kluczowe do procesu oscylacji, nie ujemne.</p>",gpt-4
171,Generator TCXO wysoką stabilność zawdzięcza:,,zastosowaniu specjalnych układów korygujących częstotliwość,docięciu kryształu kwarcu z dokładnością do femtometrów,stabilizacji temperatury oscylatora,c,"<p>Odpowiedź c. stabilizacji temperatury oscylatora.</p> <p>Wybrałem tę odpowiedź ponieważ TCXO (Temperature Compensated Crystal Oscillator) to oscylator kwarcowy z kompensacją temperatury. To oznacza, że wprowadza on korekcje częstotliwości w odpowiedzi na zmiany temperatury, które zwykle wpływają na rezonansowe drgania kryształu kwarcowego. Więc jest to stabilizacja temperatury, która zapewnia wysoką stabilność TCXO.</p>",gpt-4
172,Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez:,,"użycie przetwornika cyfrowo-analogowego ","cyfrowe przestrajanie obwodu rezonansowego ",cyfrowe sterowanie układem NE555,System.Object[],"<p>Odpowiedź to a. Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez użycie przetwornika cyfrowo-analogowego.</p> <p>DDS jest metodą generowania sygnałów analogowych przez cyfrową kontrolę fazy sygnału. Działa to poprzez użycie przetwornika cyfrowo-analogowego (DAC) do przekształcenia wartości cyfrowych na analogowe. Ostatni krok w DDS to przekształcenie cyfrowego ciągu wartości (który jest dyskretny) na ciągły sygnał analogowy. Jest to realizowane za pomocą DAC.</p> <p>Opcje b i c nie są prawidłowe, ponieważ DDS jest konceptem cyfrowym, a obwody rezonansowe i NE555 są konwencjonalnymi, analogowymi komponentami, które nie są używane w tej technologii.</p>",gpt-4
173,Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 2 to:,A_1_175.png,komparator fazy,dzielnik,generator wzorca,b,,
174,Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 3 to:,A_1_176.png,dzielnik nastawny,komparator fazy,wzmacniacz błędu,b,,
175,Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 5 to:,A_1_177.png,dzielnik wzorca,generator stabilizowany,komparator fazy,a,,
176,Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 6 to:,A_1_178.png,komparator fazy,dzielnik nastawny,wzmacniacz błędu,c,,
177,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 2 to:,A_1_179.png,wzmacniacz akustyczny,mieszacz,detektor AM,b,,
178,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 3 to:,A_1_180.png,filtr wejściowy,wzmacniacz pośredniej cz.,heterodyna,b,,
179,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 4 to:,A_1_181.png,wzmacniacz akustyczny,filtr wejściowy,detektor AM,c,,
180,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 6 to:,A_1_182.png,filtr wejściowy,wzmacniacz akustyczny,heterodyna,c,,
181,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 2 to:",A_1_183.png,wzmacniacz akustyczny,I mieszacz,"filtr przełączany II p.cz.  ",b,,
182,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 3 to:",A_1_184.png,BFO,wzmacniacz I pośredniej cz.,heterodyna,b,,
183,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 4 to:",A_1_185.png,wzmacniacz akustyczny,BFO,II mieszacz,c,,
184,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 5 to:",A_1_186.png,II heterodyna stała,wzmacniacz akustyczny,"detektor AM CW SSB  ",a,,
185,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 6 to:",A_1_187.png,filtr przełączany II p.cz.,wzmacniacz akustyczny,II heterodyna stała,a,,
186,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 7 to:",A_1_188.png,BFO,wzmacniacz II pośredniej cz.,"detektor AM , CW, SSB",b,,
187,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 8 to:",A_1_189.png,wzmacniacz akustyczny,wzmacniacz w.cz.,"detektor AM, CW, SSB",c,,
188,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 10 to:",A_1_190.png,wzmacniacz akustyczny,BFO,"detektor AM, CW, SSB",b,,
189,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 11 to:",A_1_191.png,I heterodyna strojona,wzmacniacz akustyczny,detektor AM,a,,
190,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 2 to:",A_1_192.png,wzmacniacz akustyczny,filtr wejściowy,"mieszacz zrównoważony  ",c,,
191,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 3 to:",A_1_193.png,heterodyna,wzmacniacz akustyczny,filtr wejściowy,b,,
192,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 4 to:",A_1_194.png,filtr wejściowy,wzmacniacz akustyczny,heterodyna,c,,
193,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 1 to:",A_1_195.png,wzmacniacz w.cz.,wzmacniacz akustyczny,detektor FM,a,,
194,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 3 to:",A_1_196.png,wzmacniacz w.cz.,"wzmacniacz I pośredniej cz. 10,7 MHz",I heterodyna,b,,
195,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 4 to:",A_1_197.png,wzmacniacz akustyczny,blokada szumów,II mieszacz,c,,
196,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 5 to:",A_1_198.png,II heterodyna stała,wzmacniacz II p.cz. 455 kHz,detektor FM,b,,
197,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 6 to:",A_1_199.png,detektor FM,wzmacniacz akustyczny,II heterodyna stała,a,,
198,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 7 to:",A_1_200.png,wzmacniacz II p. cz. 455kHz,wzmacniacz akustyczny,detektor FM,b,,
199,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 8 to:",A_1_201.png,wzmacniacz akustyczny,blokada szumów,detektor FM,b,,
200,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 9 to:",A_1_202.png,wzmacniacz akustyczny,blokada szumów,II heterodyna stała,c,,
201,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 10 to:",A_1_203.png,I heterodyna kwarcowa,wzmacniacz akustyczny,detektor FM,a,,
202,Przez selektywność odbiornika rozumiemy jego:,,zdolność do wyodrębnienia pożądanego sygnału,"dolny próg poziomu sygnału, który może odebrać",szum własny odbiornika,a,"<p>Wybieram odpowiedź a. zdolność do wyodrębnienia pożądanego sygnału.</p> <p>Selektywność odbiornika odnosi się do jego zdolności do wyodrębnienia wybranego sygnału z teraźniejszego sygnału, pomijając przy tym inne sygnały. Selectywność jest kluczowa w sytuacji, gdy różne sygnały są transmitowane na bliskich częstotliwościach. Dzięki selektywności odbiornik może skoncentrować się na odbieraniu tylko jednego sygnału, ignorując inne. Odpowiedzi b i c dotyczą innych właściwości odbiornika, ale nie ściśle wpływają na jego selektywność.</p>",gpt-4
203,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 1 to:,A_1_205.png,separator,wzmacniacz mocy (PA),oscylator (VFO),c,,
204,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 2 to:,A_1_206.png,wzmacniacz mocy (PA),oscylator (VFO),separator,c,,
205,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 3 to:,A_1_207.png,oscylator (VFO),wzmacniacz mocy (PA),filtr wyjściowy,b,,
206,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 2 to:,A_1_208.png,wzmacniacz sterujący,separator,I powielacz x2,b,,
207,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 3 to:,A_1_209.png,"filtr pasmowy 3,5 - 14 MHz",wzmacniacz mocy (PA),"VFO 5 - 5.,5 MHz",a,,
208,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 4 to:,A_1_210.png,wzmacniacz sterujący,filtr wyjściowy,wzbudnica SSB 9 MHz,a,,
209,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 5 to:,A_1_211.png,wzmacniacz mocy (PA),mieszacz,"oscylator (VFO) 5 - 5,5 MHz",a,,
210,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 6 to:,A_1_212.png,wzmacniacz mocy (PA),filtr wyjściowy,mieszacz,b,,
211,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 7 to:,A_1_213.png,"oscylator (VFO) 5-5,5 MHz",filtr wyjściowy,"filtr pasmowy 3,5 - 14 MHz",a,,
212,"Jak zmienia się impedancja dipola półfalowego, gdy obniżamy wysokość jego zawieszenia?",,rośnie.,maleje.,nie ulega zmianie.,b,"<p>Odpowiedzią jest a. &quot;rośnie&quot;.</p> <p>Impedancja anteny dipolowej zależy od jej wysokości względem ziemi. Gdy antena jest umieszczona blisko ziemi, ziemia działa jak dielektryk, co może zwiększyć impedancję anteny. Z tego powodu, obniżenie wysokości anteny dipolowej może zwiększyć jej impedancję.</p>",gpt-4
213,Zysk anteny kierunkowej wyrażony jest w dBi. Względem jakiego źródła jest określony?,,dipola pomiarowego,źródła izotropowego,innej anteny kierunkowej,b,"<p>b. źródła izotropowego</p> <p>Wybieram tę odpowiedź, ponieważ zysk anteny jest często określany w stosunku do źródła izotropowego (idealnego, punktowego źródła promieniowania). Izotropowe źródło promieniujące równomiernie we wszystkich kierunkach jest punktem odniesienia, pomagającym w kwantyfikowaniu wydajności anten rzeczywistych. Jednostka dBi oznacza &quot;decybele względem izotropowego&quot;.</p>",gpt-4
214,Jaka jest różnica pomiędzy efektywną mocą promieniowaną e.r.p. a efektywną mocą promieniowaną izotropowo e.i.r.p?,,"e.i.r.p. jest większe o 2,15 dB od e.r.p.","e.i.r.p. jest mniejsze o 2,15 dB od e.r.p.",nie ma różnicy,a,"<p>Odpowiedź a. e.i.r.p. jest większe o 2,15 dB od e.r.p.</p> <p>Efektywna moc promieniowana izotropowo (e.i.r.p.) uwzględnia zarówno moc nadajnika, jak i zysk anteny, ale zakłada, że antena jest anteną izotropową, która promieniuje jednolicie we wszystkich kierunkach. Moc nadawana przez anteny izotropowe jest zawsze większa od mocy nadawanej przez rzeczywistą antenę o określonym zysku w jednym kierunku.</p> <p>Zatem e.i.r.p zawsze zwraca wyższą wartość. Efektywna moc promieniowana e.r.p. uwzględnia moc nadajnika i zysk anteny w jednym kierunku. Różnica między e.i.r.p. i e.r.p. wynosi z definicji 2,15 dB.</p>",gpt-4
